市No,栃木発表番号
496,1522
497,1523
498,1524
499,1525
500,1526
501,1527
502,1528
503,1529
504,1530
505,1531
506,1532
507,1533
508,1534
509,1535
510,1570
511,1571
512,1572
513,1573
514,1574
515,1575
516,1576
517,1577
518,1578
519,1579
520,1580
521,1581
522,1582
523,1583
524,1584
525,1585
526,1586
527,1587
528,1588
529,1589
530,1590
531,1625
532,1626
533,1627
534,1628
535,1629
536,1630
537,1631
538,1632
539,1633
540,1634
541,1635
542,1636
543,1637
544,1638
545,1639
546,1640
547,1641
548,1642
549,1643
550,1644
551,1645
552,1646
553,1647
554,1648
555,1649
556,1650
557,1651
558,1652
559,1653
560,1654
561,1655
562,1656
563,1657
564,1658
565,1659
566,1660
567,1661
568,1662
569,1663
570,1698
571,1699
572,1700
573,1701
574,1702
575,1703
576,1704
577,1705
578,1706
579,1707
580,1708
581,1709
582,1710
583,1711
584,1712
585,1713
586,1714
587,1715
588,1716
589,1717
590,1718
591,1719
592,1720
593,1721
594,1722
595,1723
596,1724
597,1725
598,1726
599,1727
600,1728
601,1729
602,1730
603,1731
604,1732
605,1775
606,1776
607,1777
608,1778
609,1779
610,1780
611,1781
612,1782
613,1783
614,1784
615,1785
616,1786
617,1787
618,1788
619,1789
620,1790
621,1791
622,1792
623,1793
624,1794
625,1795
626,1796
627,1797
628,1798
629,1799
630,1800
631,1801
632,1802
633,1803
634,1804
635,1805
636,1806
637,1807
638,1808
639,1809
640,1810
641,1811
642,1812
643,1813
644,1814
645,1815
646,1816
647,1817
648,1818
649,1819
650,1820
651,1821
652,1822
653,1823
654,1824
655,1825
656,1826
657,1827
658,1828
659,1829
660,1830
661,1831
662,1832
663,1833
664,1834
665,1835
666,1836
667,1837
668,1838
669,1839
670,1840
671,1841
672,1842
673,1843
674,1899
675,1900
676,1901
677,1902
678,1903
679,1904
680,1905
681,1906
682,1907
683,1908
684,1909
685,1910
686,1911
687,1912
688,1913
689,1914
690,1915
691,1916
692,1917
693,1918
694,1919
695,1920
696,1921
697,1922
698,1923
699,1924
700,1925
701,1926
702,1927
703,1928
704,1929
705,1930
706,1931
707,1932
708,1933
709,1934
710,1935
711,1936
712,1937
713,1938
714,1939
715,1940
716,1941
717,1942
718,1943
719,1944
720,1945
721,1946
722,1947
723,1948
724,1949
725,1950
726,1951
727,1952
728,1953
729,1954
730,1955
731,1956
732,1957
733,1958
734,1959
735,1960
736,1961
737,1962
738,1963
739,1964
740,1965
741,1966
742,1967
743,1968
744,1969
745,1970
746,1971
747,1972
748,1973
749,1974
750,1975
751,2052
752,2053
753,2054
754,2055
755,2056
756,2057
757,2058
758,2059
759,2060
760,2061
761,2062
762,2063
763,2064
764,2065
765,2066
766,2067
767,2068
768,2069
769,2070
770,2071
771,2072
772,2073
773,2074
774,2075
775,2076
776,2077
777,2078
778,2079
779,2080
780,2081
781,2082
782,2083
783,2084
784,2085
785,2086
786,2087
787,2088
788,2089
789,2090
790,2091
791,2092
792,2093
793,2094
794,2095
795,2096
796,2097
797,2098
798,2099
799,2100
800,2101
801,2102
802,2103
803,2104
804,2105
805,2200
806,2201
807,2202
808,2203
809,2204
810,2205
811,2206
812,2207
813,2208
814,2209
815,2210
816,2211
817,2212
818,2213
819,2214
820,2215
821,2216
822,2217
823,2218
824,2219
825,2220
826,2221
827,2222
828,2223
829,2224
830,2225
831,2226
832,2227
833,2228
834,2229
835,2230
836,2231
837,2232
838,2233
839,2234
840,2235
841,2236
842,2237
843,2238
844,2239
845,2240
846,2241
847,2242
848,2243
849,2244
850,2245
851,2246
852,2247
853,2248
854,2249
855,2250
856,2251
857,2252
858,2253
859,2254
860,2255
861,2334
862,2335
863,2336
864,2337
865,2338
866,2339
867,2340
868,2341
869,2342
870,2343
871,2344
872,2345
873,2346
874,2347
875,2348
876,2349
877,2350
878,2351
879,2352
880,2353
881,2354
882,2355
883,2356
884,2357
885,2358
886,2359
887,2360
888,2361
889,2362
890,2363
891,2364
892,2365
893,2366
894,2367
895,2368
896,2369
897,2370
898,2371
899,2372
900,2373
901,2374
902,2375
903,2376
904,2377
905,2378
906,2379
907,2380
908,2381
909,2382
910,2383
911,2384
912,2385
913,2386
914,2387
915,2388
916,2389
917,2390
918,2391
919,2392
920,2393
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
